nome,preco,imagem,category_id,estoque
Toalhas Umedecidas Petz para Cães e Gatos,19.99,https://images.petz.com.br/fotos/1726255736248.jpg,4,15
Herbalvet Desinfetante Ourofino T.A,97.99,https://images.petz.com.br/fotos/1723476840053.jpg,4,15
Refil Cata Caca Chalesco Pop para Cães - Sortido,17.99,https://images.petz.com.br/fotos/1637762994595.jpg,4,15
Shampoo Clorexidina Dug's World para Cães e Gatos 500ml,36.54,https://images.petz.com.br/fotos/1629917752170.jpg,4,15
Refil Sacolinha Chalesco para Cães - Cores Sortidas,28.99,https://images.petz.com.br/fotos/1701378145646.jpg,4,15
Refil Cata-Caca Pawise para Cães,3.99,https://images.petz.com.br/fotos/1580145547827.jpg,4,15
Kit Educador Sanitário Petz Xixi Sim + Xixi Não para Cães,39.99,https://images.petz.com.br/fotos/1725977792823.jpg,4,15
Periovet Spray Vetnil 100ml,61.19,https://images.petz.com.br/fotos/10007230000522-1.jpg,4,15
Banho a Seco Pet Clean para Cães e Gatos 500ml,20.99,https://images.petz.com.br/fotos/1602011404109.jpg,4,15
Limpador de Orelhas Pet Clean para Cães e Gatos,15.99,https://images.petz.com.br/fotos/1638387011632.jpg,4,15
